id,scientific_name,common_name,image_url,taxa_url,observer_name,observation_year,observation_url
704775,Angelina rufescens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/463140339/medium.jpg,https://www.inaturalist.org/taxa/704775,rdegeer,2025,https://www.inaturalist.org/observations/258161159
704775,Angelina rufescens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/458171920/medium.jpg,https://www.inaturalist.org/taxa/704775,huafang,2024,https://www.inaturalist.org/observations/255642138
704775,Angelina rufescens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/452835940/medium.jpeg,https://www.inaturalist.org/taxa/704775,sea_lemon,2024,https://www.inaturalist.org/observations/252941327
955949,Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/467455704/medium.jpg,https://www.inaturalist.org/taxa/955949,nicolasdperez,2025,https://www.inaturalist.org/observations/260310974
955949,Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/467442316/medium.jpeg,https://www.inaturalist.org/taxa/955949,crowntipped,2025,https://www.inaturalist.org/observations/260304517
955949,Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/467413115/medium.jpeg,https://www.inaturalist.org/taxa/955949,janmar,2025,https://www.inaturalist.org/observations/260290099
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467751112/medium.jpg,https://www.inaturalist.org/taxa/194476,mattunitis,2025,https://www.inaturalist.org/observations/260459696
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467428408/medium.jpeg,https://www.inaturalist.org/taxa/194476,limnoglacialis,2025,https://www.inaturalist.org/observations/260297154
194476,Cerrena unicolor,Mossy Maze Polypore,https://static.inaturalist.org/photos/467782876/medium.jpeg,https://www.inaturalist.org/taxa/194476,aino23,2025,https://www.inaturalist.org/observations/260475432
56318,Coprinellus micaceus,mica cap,https://static.inaturalist.org/photos/467854818/medium.jpeg,https://www.inaturalist.org/taxa/56318,arnicorn,2025,https://www.inaturalist.org/observations/260512674
56318,Coprinellus micaceus,mica cap,https://inaturalist-open-data.s3.amazonaws.com/photos/467270502/medium.jpeg,https://www.inaturalist.org/taxa/56318,edahlhoff,2025,https://www.inaturalist.org/observations/260219975
