scientific_name,common_name,image_url,taxa_url
Phellinus nigricans,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/467353908/medium.jpeg,https://www.inaturalist.org/taxa/605606
Phellinus nigricans,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/466943664/medium.jpeg,https://www.inaturalist.org/taxa/605606
Phellinus nigricans,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/466401198/medium.jpeg,https://www.inaturalist.org/taxa/605606
Phyllotopsis nidulans,Stinking Orange Oyster,https://inaturalist-open-data.s3.amazonaws.com/photos/467745018/medium.jpg,https://www.inaturalist.org/taxa/52529
Phyllotopsis nidulans,Stinking Orange Oyster,https://static.inaturalist.org/photos/467670355/medium.jpeg,https://www.inaturalist.org/taxa/52529
Phyllotopsis nidulans,Stinking Orange Oyster,https://inaturalist-open-data.s3.amazonaws.com/photos/467705454/medium.jpeg,https://www.inaturalist.org/taxa/52529
Physisporinus crocatus,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/458172205/medium.jpg,https://www.inaturalist.org/taxa/1039875
Physisporinus crocatus,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/457871218/medium.jpg,https://www.inaturalist.org/taxa/1039875
Physisporinus crocatus,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/456743573/medium.jpg,https://www.inaturalist.org/taxa/1039875
Pleurotus ostreatus,Oyster Mushroom,https://static.inaturalist.org/photos/467829701/medium.jpeg,https://www.inaturalist.org/taxa/48494
Pleurotus ostreatus,Oyster Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/467827960/medium.jpeg,https://www.inaturalist.org/taxa/48494
Pleurotus ostreatus,Oyster Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/467804354/medium.jpeg,https://www.inaturalist.org/taxa/48494
Pluteus cervinus,Deer Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/466143019/medium.jpeg,https://www.inaturalist.org/taxa/60782
Pluteus cervinus,Deer Mushroom,https://static.inaturalist.org/photos/465352577/medium.jpeg,https://www.inaturalist.org/taxa/60782
Pluteus cervinus,Deer Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/463263771/medium.jpg,https://www.inaturalist.org/taxa/60782
Rosellinia subiculata,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/463586457/medium.jpeg,https://www.inaturalist.org/taxa/352268
Rosellinia subiculata,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/460595865/medium.jpeg,https://www.inaturalist.org/taxa/352268
Rosellinia subiculata,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/457491321/medium.jpg,https://www.inaturalist.org/taxa/352268
Rhytisma acerinum,Black Tar Spot,https://inaturalist-open-data.s3.amazonaws.com/photos/467369031/medium.jpg,https://www.inaturalist.org/taxa/130935
Rhytisma acerinum,Black Tar Spot,https://inaturalist-open-data.s3.amazonaws.com/photos/467137338/medium.jpg,https://www.inaturalist.org/taxa/130935
Rhytisma acerinum,Black Tar Spot,https://static.inaturalist.org/photos/466793026/medium.jpeg,https://www.inaturalist.org/taxa/130935
Scleroderma citrinum,common earthball,https://inaturalist-open-data.s3.amazonaws.com/photos/467883449/medium.jpeg,https://www.inaturalist.org/taxa/55927
Scleroderma citrinum,common earthball,https://static.inaturalist.org/photos/467683877/medium.jpeg,https://www.inaturalist.org/taxa/55927
Scleroderma citrinum,common earthball,https://inaturalist-open-data.s3.amazonaws.com/photos/467141551/medium.jpeg,https://www.inaturalist.org/taxa/55927
Skeletocutis nivea,Hazel Bracket,https://inaturalist-open-data.s3.amazonaws.com/photos/449664892/medium.jpg,https://www.inaturalist.org/taxa/352376
Skeletocutis nivea,Hazel Bracket,https://inaturalist-open-data.s3.amazonaws.com/photos/439373894/medium.jpeg,https://www.inaturalist.org/taxa/352376
Skeletocutis nivea,Hazel Bracket,https://inaturalist-open-data.s3.amazonaws.com/photos/426644043/medium.jpeg,https://www.inaturalist.org/taxa/352376
Steccherinum ochraceum,Ochre Spreading Tooth,https://inaturalist-open-data.s3.amazonaws.com/photos/467666180/medium.jpg,https://www.inaturalist.org/taxa/118096
Steccherinum ochraceum,Ochre Spreading Tooth,https://inaturalist-open-data.s3.amazonaws.com/photos/467422964/medium.jpeg,https://www.inaturalist.org/taxa/118096
Steccherinum ochraceum,Ochre Spreading Tooth,https://inaturalist-open-data.s3.amazonaws.com/photos/467782741/medium.jpeg,https://www.inaturalist.org/taxa/118096
Stereum complicatum,crowded parchment,https://inaturalist-open-data.s3.amazonaws.com/photos/467740886/medium.jpeg,https://www.inaturalist.org/taxa/196842
Stereum complicatum,crowded parchment,https://inaturalist-open-data.s3.amazonaws.com/photos/467697444/medium.jpeg,https://www.inaturalist.org/taxa/196842
Stereum complicatum,crowded parchment,https://static.inaturalist.org/photos/467684051/medium.jpeg,https://www.inaturalist.org/taxa/196842
Suillus weaverae,Butterball,https://inaturalist-open-data.s3.amazonaws.com/photos/453999755/medium.jpeg,https://www.inaturalist.org/taxa/543035
Suillus weaverae,Butterball,https://inaturalist-open-data.s3.amazonaws.com/photos/452902871/medium.jpeg,https://www.inaturalist.org/taxa/543035
Suillus weaverae,Butterball,https://inaturalist-open-data.s3.amazonaws.com/photos/452435975/medium.jpeg,https://www.inaturalist.org/taxa/543035
Trametes hirsuta,Hairy Bracket,https://inaturalist-open-data.s3.amazonaws.com/photos/467885409/medium.jpg,https://www.inaturalist.org/taxa/116695
Trametes hirsuta,Hairy Bracket,https://inaturalist-open-data.s3.amazonaws.com/photos/467851569/medium.jpeg,https://www.inaturalist.org/taxa/116695
Trametes hirsuta,Hairy Bracket,https://inaturalist-open-data.s3.amazonaws.com/photos/467604875/medium.jpg,https://www.inaturalist.org/taxa/116695
Trametes versicolor,turkey-tail,https://static.inaturalist.org/photos/467842464/medium.jpeg,https://www.inaturalist.org/taxa/54134
Trametes versicolor,turkey-tail,https://static.inaturalist.org/photos/467838591/medium.jpeg,https://www.inaturalist.org/taxa/54134
Trametes versicolor,turkey-tail,https://inaturalist-open-data.s3.amazonaws.com/photos/467826701/medium.jpg,https://www.inaturalist.org/taxa/54134
Trichaptum biforme,violet-toothed polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467803228/medium.jpeg,https://www.inaturalist.org/taxa/125705
Trichaptum biforme,violet-toothed polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467836762/medium.jpeg,https://www.inaturalist.org/taxa/125705
Trichaptum biforme,violet-toothed polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467718769/medium.jpg,https://www.inaturalist.org/taxa/125705
Trichoderma sulphureum,N/A,https://static.inaturalist.org/photos/461092694/medium.jpg,https://www.inaturalist.org/taxa/525060
Trichoderma sulphureum,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/459996069/medium.jpeg,https://www.inaturalist.org/taxa/525060
Trichoderma sulphureum,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/459961181/medium.jpeg,https://www.inaturalist.org/taxa/525060
Vararia investiens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/460984112/medium.jpg,https://www.inaturalist.org/taxa/384715
Vararia investiens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/447903139/medium.jpg,https://www.inaturalist.org/taxa/384715
Vararia investiens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/447110801/medium.jpg,https://www.inaturalist.org/taxa/384715
Xenasmatella vaga,yellow cobweb,https://inaturalist-open-data.s3.amazonaws.com/photos/457466145/medium.jpeg,https://www.inaturalist.org/taxa/352847
Xenasmatella vaga,yellow cobweb,https://inaturalist-open-data.s3.amazonaws.com/photos/457180017/medium.jpg,https://www.inaturalist.org/taxa/352847
Xenasmatella vaga,yellow cobweb,https://inaturalist-open-data.s3.amazonaws.com/photos/451355714/medium.jpeg,https://www.inaturalist.org/taxa/352847
Xylodon paradoxus,split porecrust,https://inaturalist-open-data.s3.amazonaws.com/photos/466507282/medium.jpg,https://www.inaturalist.org/taxa/785474
Xylodon paradoxus,split porecrust,https://inaturalist-open-data.s3.amazonaws.com/photos/465504772/medium.jpeg,https://www.inaturalist.org/taxa/785474
Xylodon paradoxus,split porecrust,https://inaturalist-open-data.s3.amazonaws.com/photos/465775503/medium.jpeg,https://www.inaturalist.org/taxa/785474
Lycogala epidendrum,Wolf's Milk,https://inaturalist-open-data.s3.amazonaws.com/photos/467613415/medium.jpeg,https://www.inaturalist.org/taxa/47680
Lycogala epidendrum,Wolf's Milk,https://inaturalist-open-data.s3.amazonaws.com/photos/466889146/medium.jpg,https://www.inaturalist.org/taxa/47680
Lycogala epidendrum,Wolf's Milk,https://inaturalist-open-data.s3.amazonaws.com/photos/466825006/medium.jpg,https://www.inaturalist.org/taxa/47680
