id,scientific_name,common_name,image_url,taxa_url,observer_name,observation_year,observation_url
48711,Lobaria pulmonaria,Tree Lungwort,https://static.inaturalist.org/photos/467883317/medium.jpg,https://www.inaturalist.org/taxa/48711,luis_cardoso,2025,https://www.inaturalist.org/observations/260527159
48711,Lobaria pulmonaria,Tree Lungwort,https://inaturalist-open-data.s3.amazonaws.com/photos/467698387/medium.jpeg,https://www.inaturalist.org/taxa/48711,song_dog,2025,https://www.inaturalist.org/observations/260434639
48711,Lobaria pulmonaria,Tree Lungwort,https://static.inaturalist.org/photos/467743343/medium.jpeg,https://www.inaturalist.org/taxa/48711,cadecampbell,2025,https://www.inaturalist.org/observations/260496754
67594,Flammulina velutipes,Velvet Foot,https://static.inaturalist.org/photos/467832971/medium.jpeg,https://www.inaturalist.org/taxa/67594,nonovak,2025,https://www.inaturalist.org/observations/260501337
67594,Flammulina velutipes,Velvet Foot,https://inaturalist-open-data.s3.amazonaws.com/photos/467812854/medium.jpeg,https://www.inaturalist.org/taxa/67594,odonatachr,2025,https://www.inaturalist.org/observations/260490185
67594,Flammulina velutipes,Velvet Foot,https://inaturalist-open-data.s3.amazonaws.com/photos/467656602/medium.jpg,https://www.inaturalist.org/taxa/67594,salami_mommy,2025,https://www.inaturalist.org/observations/260412749
125705,Trichaptum biforme,violet-toothed polypore,https://static.inaturalist.org/photos/467894642/medium.jpg,https://www.inaturalist.org/taxa/125705,taylerleigh,2025,https://www.inaturalist.org/observations/260530285
125705,Trichaptum biforme,violet-toothed polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467896388/medium.jpg,https://www.inaturalist.org/taxa/125705,gatorgreg,2025,https://www.inaturalist.org/observations/260533828
125705,Trichaptum biforme,violet-toothed polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467803228/medium.jpeg,https://www.inaturalist.org/taxa/125705,marcogasponi,2025,https://www.inaturalist.org/observations/260484641
196842,Stereum complicatum,crowded parchment,https://inaturalist-open-data.s3.amazonaws.com/photos/467864668/medium.jpg,https://www.inaturalist.org/taxa/196842,sandykeller,2025,https://www.inaturalist.org/observations/260517515
